id,searchable_name,location_label,map_location,category,convention_id
18527,"Field : Nascrag, Events",Field : Nascrag,/map?c=27&f=0&lg=22.587890625000004&lt=76.05503470028691&s=18527&z=5,Events,27
18528,"Field : Conspiracy of Gamers, Events",Field : Consipiracy of Gamers,/map?c=27&f=0&lg=27.946230468749995&lt=75.20844693649421&s=18528&z=5,Events,27
18529,"Field : Rising Phoenix, Events",Field : Rising Phoenix,/map?c=27&f=0&lg=35.37404296875001&lt=74.42164739747965&s=18529&z=5,Events,27
18530,"Field : Rogue Judges, Events",Field : Rogue Judges,/map?c=27&f=0&lg=36.09984374999999&lt=75.61016516693995&s=18530&z=5,Events,27
18531,"Field : Goodman Games, Events",Field : Goodman Games,/map?c=27&f=0&lg=29.860048828125006&lt=76.2055269609833&s=18531&z=5,Events,27
18532,"Field : Bandai, Events",Field : Bandai,/map?c=27&f=0&lg=40.17568359375002&lt=75.18385653301563&s=18532&z=5,Events,27
18533,"Field : Bandai, Events",Field : Bandai,/map?c=27&f=0&lg=44.570478515625&lt=75.38390217607798&s=18533&z=5,Events,27
18534,"Field : Red, Events",Field : Red,/map?c=27&f=0&lg=41.246015625000005&lt=76.56092988509418&s=18534&z=5,Events,27
18535,"Field : Fight in the Skies, Events",Field : Fight in the Skies Society,/map?c=27&f=0&lg=43.799326171875&lt=77.67860558422768&s=18535&z=5,Events,27
18536,"Field : Bear Left Solutions, Events",Field : Bear Left Solutions,/map?c=27&f=0&lg=39.19921875000001&lt=78.42019327591201&s=18536&z=5,Events,27
18537,"Field : Green, Events",Field : Green,/map?c=27&f=0&lg=37.63450195312502&lt=77.59724376481813&s=18537&z=5,Events,27
18538,"Field : Stadium Midfield Experience, Events",Field : Stadium Midfield Experience,/map?c=27&f=0&lg=36.220693359375&lt=77.1082308340476&s=18538&z=5,Events,27
18539,"Field : Blue, Events",Field : Blue,/map?c=27&f=0&lg=33.204902343749986&lt=77.39510581083029&s=18539&z=5,Events,27
18540,"Field : Magic: the Gathering, Events",Field : Magic: the Gathering,/map?c=27&f=0&lg=30.89162109375001&lt=78.68186979139158&s=18540&z=5,Events,27
18541,"Field : Yellow, Events",Field : Yellow,/map?c=27&f=0&lg=50.1215625&lt=79.16424859489524&s=18541&z=5,Events,27
18542,"Field : Game Library, Events",Field : Game Library,/map?c=27&f=0&lg=41.23916015625001&lt=80.01004497004601&s=18542&z=5,Events,27
18543,"Field : Purple, Events",Field : Purple,/map?c=27&f=0&lg=31.80234375000002&lt=80.59308898381958&s=18543&z=5,Events,27
18544,"Hall E : Asmodee, Events",ICC : Hall E : Asmodee,/map?c=27&f=1&lg=42.48896484375&lt=-18.81879100408091&s=18544&z=5,Events,27
